signal_id,confidence_tier,region_or_tract,outcome_type,factor_category,factor_name,interaction_order,direction,p_value,notes
42,2_named_no_exact_p,Cingulate regions,volume + DTI (main effect),SES,education,,mixed (see notes),,"Higher education -> increased cortical/ventricular/subcortical/cerebellar volume, increased FA/AD/MO, decreased MD/RD. 17/22 ROI & 35/44 DTI direction-consistent"
43,2_named_no_exact_p,Ventricular regions,volume + DTI (main effect),SES,education,,mixed (see notes),,"Higher education -> increased cortical/ventricular/subcortical/cerebellar volume, increased FA/AD/MO, decreased MD/RD. 17/22 ROI & 35/44 DTI direction-consistent"
44,2_named_no_exact_p,Brainstem,volume + DTI (main effect),SES,education,,mixed (see notes),,"Higher education -> increased cortical/ventricular/subcortical/cerebellar volume, increased FA/AD/MO, decreased MD/RD. 17/22 ROI & 35/44 DTI direction-consistent"
45,2_named_no_exact_p,Cerebellum,volume + DTI (main effect),SES,education,,mixed (see notes),,"Higher education -> increased cortical/ventricular/subcortical/cerebellar volume, increased FA/AD/MO, decreased MD/RD. 17/22 ROI & 35/44 DTI direction-consistent"
46,2_named_no_exact_p,15 WM tracts (unnamed individually),volume + DTI (main effect),SES,education,,mixed (see notes),,"Higher education -> increased cortical/ventricular/subcortical/cerebellar volume, increased FA/AD/MO, decreased MD/RD. 17/22 ROI & 35/44 DTI direction-consistent"
47,2_named_no_exact_p,Amygdala,volume + DTI,PRS,Education PRS,,positive (volume); FA/AD/RD/MD increased,,Consistent direction with education phenotype -> partially genetically driven
48,2_named_no_exact_p,Fusiform,volume + DTI,PRS,Education PRS,,positive (volume); FA/AD/RD/MD increased,,Consistent direction with education phenotype -> partially genetically driven
49,2_named_no_exact_p,Fourth ventricle,volume + DTI,PRS,Education PRS,,positive (volume); FA/AD/RD/MD increased,,Consistent direction with education phenotype -> partially genetically driven
50,2_named_no_exact_p,Thalamus,volume,APOE,APOE-ε4 (main effect),,negative,,"Well-established finding, replicated"
51,2_named_no_exact_p,Basal forebrain,volume,APOE,APOE-ε4 (main effect),,negative,,"Well-established finding, replicated"
52,2_named_no_exact_p,Cingulum hippocampus (CGH),FA,APOE,APOE-ε4 (main effect),,negative,,
53,2_named_no_exact_p,Posterior thalamic radiation (PTR),FA,APOE,APOE-ε4 (main effect),,negative,,
54,2_named_no_exact_p,CGH,"RD, MD, AxD",APOE,APOE-ε4 (main effect),,positive,,
55,2_named_no_exact_p,PTR,"RD, MD, AxD",APOE,APOE-ε4 (main effect),,positive,,
56,2_named_no_exact_p,Superior corona radiata,"RD, MD, AxD",APOE,APOE-ε4 (main effect),,positive,,
57,2_named_no_exact_p,Cingulum cingulate (CGC),"RD, MD, AxD",APOE,APOE-ε4 (main effect),,positive,,
